isi,prime,target,condition,meanRT
1050,explorer,adventure,strong,727.9
50,conquest,adventure,weak,669.3
1050,conquest,adventure,weak,647.4
50,wary,adventure,unrel_strong,760.9
1050,wary,adventure,unrel_strong,643.3
50,intake,adventure,unrel_weak,754.1
1050,intake,adventure,unrel_weak,716.3
50,suggest,advice,strong,600.9
1050,suggest,advice,strong,700.4
50,advise,advice,weak,739.5
1050,advise,advice,weak,735.1
50,no,advice,unrel_strong,676.4
1050,no,advice,unrel_strong,778.1
50,text,advice,unrel_weak,705.5
1050,text,advice,unrel_weak,769.9
50,continent,africa,strong,741.6
1050,continent,africa,strong,636.9
50,hunger,africa,weak,779.1
1050,hunger,africa,weak,700.0
50,threat,africa,unrel_strong,791.0
1050,threat,africa,unrel_strong,818.5
50,straight,africa,unrel_weak,696.7
1050,straight,africa,unrel_weak,657.0
50,before,after,strong,619.6
1050,before,after,strong,758.9
50,beyond,after,weak,630.5
1050,beyond,after,weak,767.5
50,celsius,after,unrel_strong,677.3
1050,celsius,after,unrel_strong,642.0
50,gauge,after,unrel_weak,651.7
1050,gauge,after,unrel_weak,640.7
50,repeat,again,strong,686.3
1050,repeat,again,strong,637.4
50,never,again,weak,619.3
1050,never,again,weak,618.1
50,overwhelm,again,unrel_strong,593.6
1050,overwhelm,again,unrel_strong,630.7
50,cop,again,unrel_weak,678.0
1050,cop,again,unrel_weak,699.6
50,for,against,strong,719.3
1050,for,against,strong,766.9
50,odds,against,weak,666.9
1050,odds,against,weak,850.1
50,block,against,unrel_strong,735.2
1050,block,against,unrel_strong,712.1
50,latin,against,unrel_weak,677.2
1050,latin,against,unrel_weak,772.7
50,years,age,strong,619.5
1050,years,age,strong,676.2
50,mature,age,weak,597.0
1050,mature,age,weak,609.5
50,rip,age,unrel_strong,643.8
1050,rip,age,unrel_strong,651.2
50,professor,age,unrel_weak,644.2
1050,professor,age,unrel_weak,651.7
50,contract,agreement,strong,680.9
1050,contract,agreement,strong,630.7
50,negotiation,agreement,weak,678.9
1050,negotiation,agreement,weak,662.5
50,pro,agreement,unrel_strong,700.2
1050,pro,agreement,unrel_strong,669.2
50,fancy,agreement,unrel_weak,661.1
1050,fancy,agreement,unrel_weak,702.3
50,fan,air,strong,658.2
1050,fan,air,strong,616.5
50,cool,air,weak,599.4
1050,cool,air,weak,695.1
50,listen,air,unrel_strong,629.1
1050,listen,air,unrel_strong,628.5
50,guest,air,unrel_weak,680.8
1050,guest,air,unrel_weak,698.2
50,flying,airplane,strong,694.9
1050,flying,airplane,strong,644.8
50,fly,airplane,weak,723.7
1050,fly,airplane,weak,644.5
50,essay,airplane,unrel_strong,647.4
1050,essay,airplane,unrel_strong,720.3
50,bedroom,airplane,unrel_weak,663.8
1050,bedroom,airplane,unrel_weak,728.2
50,drunk,alcohol,strong,610.5
1050,drunk,alcohol,strong,715.3
50,bartender,alcohol,weak,690.7
1050,bartender,alcohol,weak,666.3
50,pepperoni,alcohol,unrel_strong,733.2
1050,pepperoni,alcohol,unrel_strong,690.9
50,once,alcohol,unrel_weak,670.5
1050,once,alcohol,unrel_weak,660.1
50,awareness,alert,strong,609.1
1050,awareness,alert,strong,637.0
50,notify,alert,weak,620.2
1050,notify,alert,weak,594.6
50,reappear,alert,unrel_strong,682.2
1050,reappear,alert,unrel_strong,708.4
50,distinct,alert,unrel_weak,743.5
1050,distinct,alert,unrel_weak,683.9
50,dead,alive,strong,607.4
1050,dead,alive,strong,565.7
50,disbelief,alive,weak,624.6
1050,disbelief,alive,weak,583.4
50,cuss,alive,unrel_strong,621.7
1050,cuss,alive,unrel_strong,625.4
50,wife,alive,unrel_weak,692.0
1050,wife,alive,unrel_weak,639.0
50,most,all,strong,645.5
1050,most,all,strong,585.0
50,total,all,weak,686.8
1050,total,all,weak,582.5
50,amaze,all,unrel_strong,665.8
1050,amaze,all,unrel_strong,715.3
50,ape,all,unrel_weak,680.6
1050,ape,all,unrel_weak,614.0
50,crocodile,alligator,strong,638.4
1050,crocodile,alligator,strong,868.1
50,swamp,alligator,weak,701.2
1050,swamp,alligator,weak,673.0
50,lost,alligator,unrel_strong,744.0
1050,lost,alligator,unrel_strong,712.3
50,confess,alligator,unrel_weak,808.7
1050,confess,alligator,unrel_weak,674.9
50,disallow,allow,strong,756.3
1050,disallow,allow,strong,691.2
50,grant,allow,weak,617.1
1050,grant,allow,weak,767.0
50,army,allow,unrel_strong,766.6
1050,army,allow,unrel_strong,685.5
50,candy,allow,unrel_weak,627.3
1050,candy,allow,unrel_weak,650.2
50,lonely,alone,strong,635.1
1050,lonely,alone,strong,574.6
50,apart,alone,weak,613.5
1050,apart,alone,weak,672.2
50,middle,alone,unrel_strong,599.4
1050,middle,alone,unrel_strong,667.3
50,super,alone,unrel_weak,794.0
1050,super,alone,unrel_weak,596.9
50,okay,alright,strong,616.6
1050,okay,alright,strong,717.3
50,mediocre,alright,weak,664.7
1050,mediocre,alright,weak,768.0
50,hopeless,alright,unrel_strong,723.4
1050,hopeless,alright,unrel_strong,710.3
50,hinge,alright,unrel_weak,645.7
1050,hinge,alright,unrel_weak,675.1
50,foil,aluminum,strong,711.4
1050,foil,aluminum,strong,878.7
50,lead,aluminum,weak,702.9
1050,lead,aluminum,weak,932.2
50,jail,aluminum,unrel_strong,858.8
1050,jail,aluminum,unrel_strong,920.3
50,sentence,aluminum,unrel_weak,886.7
1050,sentence,aluminum,unrel_weak,872.7
50,forever,always,strong,639.5
1050,forever,always,strong,658.2
50,tradition,always,weak,619.9
1050,tradition,always,weak,660.5
50,positive,always,unrel_strong,578.6
1050,positive,always,unrel_strong,608.1
50,greatest,always,unrel_weak,609.6
1050,greatest,always,unrel_weak,697.9
50,be,am,strong,745.1
1050,be,am,strong,896.5
50,become,am,weak,722.4
1050,become,am,weak,724.2
50,freeway,am,unrel_strong,759.7
1050,freeway,am,unrel_strong,753.8
50,alarm,am,unrel_weak,918.1
1050,alarm,am,unrel_weak,787.9
50,emergency,ambulance,strong,735.4
1050,emergency,ambulance,strong,736.1
50,rescue,ambulance,weak,798.3
1050,rescue,ambulance,weak,771.9
50,introvert,ambulance,unrel_strong,863.8
1050,introvert,ambulance,unrel_strong,757.8
50,cape,ambulance,unrel_weak,827.2
1050,cape,ambulance,unrel_weak,715.2
50,usa,america,strong,663.4
1050,usa,america,strong,618.6
50,eagle,america,weak,725.0
1050,eagle,america,weak,807.4
50,tube,america,unrel_strong,737.9
1050,tube,america,unrel_strong,765.2
50,ice,america,unrel_weak,748.4
1050,ice,america,unrel_weak,777.3
50,flag,american,strong,826.5
1050,flag,american,strong,856.1
50,revolution,american,weak,771.3
1050,revolution,american,weak,720.5
50,cobbler,american,unrel_strong,744.6
1050,cobbler,american,unrel_strong,678.8
50,flush,american,unrel_weak,659.7
1050,flush,american,unrel_weak,720.1
50,quantity,amount,strong,624.0
1050,quantity,amount,strong,661.8
50,price,amount,weak,720.8
1050,price,amount,weak,639.0
50,united,amount,unrel_strong,738.9
1050,united,amount,unrel_strong,647.4
50,decide,amount,unrel_weak,700.2
1050,decide,amount,unrel_weak,627.6
50,entertain,amuse,strong,712.7
1050,entertain,amuse,strong,692.5
50,funny,amuse,weak,689.5
1050,funny,amuse,weak,731.6
50,mug,amuse,unrel_strong,764.2
1050,mug,amuse,unrel_strong,771.6
50,disease,amuse,unrel_weak,830.9
1050,disease,amuse,unrel_weak,715.6
50,saint,angel,strong,560.3
1050,saint,angel,strong,700.1
50,harp,angel,weak,603.3
1050,harp,angel,weak,713.2
50,hike,angel,unrel_strong,637.4
1050,hike,angel,unrel_strong,697.7
50,cliff,angel,unrel_weak,627.0
1050,cliff,angel,unrel_weak,563.5
50,fury,anger,strong,582.6
1050,fury,anger,strong,679.4
50,vent,anger,weak,571.8
1050,vent,anger,weak,628.0
50,standard,anger,unrel_strong,612.5
1050,standard,anger,unrel_strong,618.6
50,exchange,anger,unrel_weak,596.0
1050,exchange,anger,unrel_weak,653.9
50,mad,angry,strong,649.2
1050,mad,angry,strong,579.1
50,irritate,angry,weak,634.2
1050,irritate,angry,weak,666.1
50,time,angry,unrel_strong,658.8
1050,time,angry,unrel_strong,677.1
50,torture,angry,unrel_weak,590.2
1050,torture,angry,unrel_weak,653.4
50,beast,animal,strong,699.5
1050,beast,animal,strong,755.0
50,jungle,animal,weak,590.4
1050,jungle,animal,weak,644.0
50,thesaurus,animal,unrel_strong,608.6
1050,thesaurus,animal,unrel_strong,725.9
50,deposit,animal,unrel_weak,649.6
1050,deposit,animal,unrel_weak,647.5
50,sprain,ankle,strong,610.5
1050,sprain,ankle,strong,615.1
50,wrist,ankle,weak,637.8
1050,wrist,ankle,weak,659.8
50,shoulder,ankle,unrel_strong,679.2
1050,shoulder,ankle,unrel_strong,653.3
50,term,ankle,unrel_weak,637.9
1050,term,ankle,unrel_weak,794.6
50,frustrate,annoy,strong,802.4
1050,frustrate,annoy,strong,695.6
50,salesman,annoy,weak,780.8
1050,salesman,annoy,weak,736.7
50,disappear,annoy,unrel_strong,772.2
1050,disappear,annoy,unrel_strong,654.1
50,height,annoy,unrel_weak,754.2
1050,height,annoy,unrel_weak,776.8
50,irritating,annoying,strong,769.0
1050,irritating,annoying,strong,592.0
50,pushy,annoying,weak,720.8
1050,pushy,annoying,weak,771.7
50,drop,annoying,unrel_strong,766.0
1050,drop,annoying,unrel_strong,681.8
50,boxer,annoying,unrel_weak,720.0
1050,boxer,annoying,unrel_weak,728.0
50,yearly,annually,strong,705.0
1050,yearly,annually,strong,805.7
50,monthly,annually,weak,724.1
1050,monthly,annually,weak,888.7
50,most,annually,unrel_strong,737.6
1050,most,annually,unrel_strong,824.9
50,mass,annually,unrel_weak,870.4
1050,mass,annually,unrel_weak,779.7
50,explanation,answer,strong,655.8
1050,explanation,answer,strong,638.0
50,conclude,answer,weak,666.5
1050,conclude,answer,weak,669.5
50,communist,answer,unrel_strong,623.4
1050,communist,answer,unrel_strong,614.7
50,bring,answer,unrel_weak,651.4
1050,bring,answer,unrel_weak,672.0
50,anteater,ant,strong,705.8
1050,anteater,ant,strong,674.1
50,insect,ant,weak,594.4
1050,insect,ant,weak,670.4
50,motionless,ant,unrel_strong,690.1
1050,motionless,ant,unrel_strong,674.7
50,quotient,ant,unrel_weak,672.9
1050,quotient,ant,unrel_weak,686.7
50,stress,anxiety,strong,775.1
1050,stress,anxiety,strong,816.1
50,frustration,anxiety,weak,659.2
1050,frustration,anxiety,weak,650.6
50,washcloth,anxiety,unrel_strong,757.5
1050,washcloth,anxiety,unrel_strong,750.2
50,cement,anxiety,unrel_weak,823.6
1050,cement,anxiety,unrel_weak,734.7
50,together,apart,strong,721.7
1050,together,apart,strong,720.8
50,spread,apart,weak,663.9
1050,spread,apart,weak,664.0
50,reef,apart,unrel_strong,689.2
1050,reef,apart,unrel_strong,632.6
50,soda,apart,unrel_weak,692.2
1050,soda,apart,unrel_weak,774.3
50,rent,apartment,strong,677.6
1050,rent,apartment,strong,715.8
50,evict,apartment,weak,637.6
1050,evict,apartment,weak,698.9
50,component,apartment,unrel_strong,723.4
1050,component,apartment,unrel_strong,762.0
50,mimic,apartment,unrel_weak,721.3
1050,mimic,apartment,unrel_weak,848.9
50,monkey,ape,strong,678.1
1050,monkey,ape,strong,685.8
50,chimpanzee,ape,weak,633.1
1050,chimpanzee,ape,weak,566.8
50,glare,ape,unrel_strong,778.3
1050,glare,ape,unrel_strong,664.5
50,foe,ape,unrel_weak,779.7
1050,foe,ape,unrel_weak,766.9
50,sorry,apology,strong,691.4
1050,sorry,apology,strong,758.3
50,excuse,apology,weak,710.5
1050,excuse,apology,weak,885.0
50,witch,apology,unrel_strong,669.8
1050,witch,apology,unrel_strong,727.0
50,looks,apology,unrel_weak,644.2
1050,looks,apology,unrel_weak,840.9
50,seem,appear,strong,631.9
1050,seem,appear,strong,729.6
50,vanish,appear,weak,664.4
1050,vanish,appear,weak,670.3
50,juggler,appear,unrel_strong,667.4
1050,juggler,appear,unrel_strong,663.7
50,brother,appear,unrel_weak,671.2
1050,brother,appear,unrel_weak,836.9
50,pie,apple,strong,653.6
1050,pie,apple,strong,571.6
50,sauce,apple,weak,587.0
1050,sauce,apple,weak,648.6
50,attend,apple,unrel_strong,664.7
1050,attend,apple,unrel_strong,673.0
50,torn,apple,unrel_weak,588.8
1050,torn,apple,unrel_weak,649.1
50,march,april,strong,646.6
1050,march,april,strong,705.3
50,fool,april,weak,754.6
1050,fool,april,weak,684.7
50,tutu,april,unrel_strong,649.6
1050,tutu,april,unrel_strong,764.4
50,fort,april,unrel_weak,633.9
1050,fort,april,unrel_weak,733.6
50,region,area,strong,721.9
1050,region,area,strong,681.6
50,neighborhood,area,weak,668.7
1050,neighborhood,area,weak,672.1
50,tent,area,unrel_strong,636.9
1050,tent,area,unrel_strong,693.1
50,dust,area,unrel_weak,623.7
1050,dust,area,unrel_weak,678.2
50,debate,argue,strong,685.6
1050,debate,argue,strong,702.6
50,criticize,argue,weak,670.8
1050,criticize,argue,weak,641.5
50,treasure,argue,unrel_strong,772.1
1050,treasure,argue,unrel_strong,686.3
50,pale,argue,unrel_weak,670.9
1050,pale,argue,unrel_weak,669.0
50,disagreement,argument,strong,835.3
1050,disagreement,argument,strong,792.5
50,feud,argument,weak,840.7
1050,feud,argument,weak,820.6
50,refreshing,argument,unrel_strong,701.7
1050,refreshing,argument,unrel_strong,796.1
50,band,argument,unrel_weak,700.9
1050,band,argument,unrel_weak,775.5
50,shoulder,arm,strong,622.1
1050,shoulder,arm,strong,840.1
50,strong,arm,weak,657.4
1050,strong,arm,weak,691.8
50,surrounding,arm,unrel_strong,639.8
1050,surrounding,arm,unrel_strong,595.5
50,democracy,arm,unrel_weak,642.4
1050,democracy,arm,unrel_weak,678.2
50,knight,armor,strong,678.7
1050,knight,armor,strong,736.1
50,medieval,armor,weak,594.4
1050,medieval,armor,weak,821.9
50,ahead,armor,unrel_strong,903.1
1050,ahead,armor,unrel_strong,730.0
50,week,armor,unrel_weak,743.5
1050,week,armor,unrel_weak,832.0
50,octopus,arms,strong,634.7
1050,octopus,arms,strong,673.5
50,hug,arms,weak,729.5
1050,hug,arms,weak,633.1
50,tractor,arms,unrel_strong,668.4
1050,tractor,arms,unrel_strong,671.2
50,darkness,arms,unrel_weak,712.5
1050,darkness,arms,unrel_weak,662.6
50,corporal,army,strong,579.8
1050,corporal,army,strong,694.1
50,fort,army,weak,653.4
1050,fort,army,weak,714.7
50,caution,army,unrel_strong,619.1
1050,caution,army,unrel_strong,653.9
50,bell,army,unrel_weak,647.8
1050,bell,army,unrel_weak,728.1
50,surrounding,around,strong,624.6
1050,surrounding,around,strong,638.9
50,wrap,around,weak,603.6
1050,wrap,around,weak,598.9
50,infection,around,unrel_strong,692.0
1050,infection,around,unrel_strong,648.5
50,faucet,around,unrel_weak,619.1
1050,faucet,around,unrel_weak,618.7
50,cocky,arrogant,strong,779.1
1050,cocky,arrogant,strong,658.4
50,proud,arrogant,weak,894.9
1050,proud,arrogant,weak,675.1
50,agenda,arrogant,unrel_strong,762.7
1050,agenda,arrogant,unrel_strong,775.1
50,cook,arrogant,unrel_weak,713.3
1050,cook,arrogant,unrel_weak,760.7
50,bow,arrow,strong,618.4
1050,bow,arrow,strong,667.6
50,directions,arrow,weak,714.1
1050,directions,arrow,weak,662.0
50,beard,arrow,unrel_strong,636.9
1050,beard,arrow,unrel_strong,697.1
50,parade,arrow,unrel_weak,599.8
1050,parade,arrow,unrel_weak,688.2
50,sculpture,art,strong,666.1
1050,sculpture,art,strong,597.6
50,impression,art,weak,649.7
1050,impression,art,weak,653.3
50,mob,art,unrel_strong,664.4
1050,mob,art,unrel_strong,611.7
50,medieval,art,unrel_weak,659.3
1050,medieval,art,unrel_weak,613.2
50,con,artist,strong,650.6
1050,con,artist,strong,706.7
50,famous,artist,weak,622.2
1050,famous,artist,weak,603.6
50,stain,artist,unrel_strong,672.3
1050,stain,artist,unrel_strong,696.5
50,wealth,artist,unrel_weak,758.7
1050,wealth,artist,unrel_weak,677.8
50,ash,ashtray,strong,865.9
1050,ash,ashtray,strong,733.2
50,ashes,ashtray,weak,815.4
1050,ashes,ashtray,weak,831.1
50,blend,ashtray,unrel_strong,965.0
1050,blend,ashtray,unrel_strong,936.0
50,storm,ashtray,unrel_weak,943.8
1050,storm,ashtray,unrel_weak,940.7
50,europe,asia,strong,635.3
