isi,prime,target,condition,meanRT
50,hunger,africa,weak,585.7
1050,hunger,africa,weak,525.6
50,threat,africa,unrel_strong,504.8
1050,threat,africa,unrel_strong,510.7
50,straight,africa,unrel_weak,543.0
1050,straight,africa,unrel_weak,563.3
50,before,after,strong,507.1
1050,before,after,strong,486.0
50,beyond,after,weak,563.7
1050,beyond,after,weak,481.8
50,celsius,after,unrel_strong,531.9
1050,celsius,after,unrel_strong,467.4
50,gauge,after,unrel_weak,552.6
1050,gauge,after,unrel_weak,524.9
50,for,against,strong,616.4
1050,for,against,strong,502.8
50,odds,against,weak,531.2
1050,odds,against,weak,537.7
50,block,against,unrel_strong,525.4
1050,block,against,unrel_strong,618.7
50,latin,against,unrel_weak,496.3
1050,latin,against,unrel_weak,542.9
50,years,age,strong,527.8
1050,years,age,strong,451.1
50,mature,age,weak,517.4
1050,mature,age,weak,512.7
50,rip,age,unrel_strong,529.4
1050,rip,age,unrel_strong,473.5
50,professor,age,unrel_weak,500.3
1050,professor,age,unrel_weak,468.5
50,contract,agreement,strong,529.4
1050,contract,agreement,strong,608.7
50,negotiation,agreement,weak,622.8
1050,negotiation,agreement,weak,543.1
50,pro,agreement,unrel_strong,548.3
1050,pro,agreement,unrel_strong,587.2
50,fancy,agreement,unrel_weak,536.2
1050,fancy,agreement,unrel_weak,568.5
50,fan,air,strong,537.7
1050,fan,air,strong,480.7
50,cool,air,weak,507.9
1050,cool,air,weak,513.7
50,listen,air,unrel_strong,554.3
1050,listen,air,unrel_strong,499.7
50,guest,air,unrel_weak,501.9
1050,guest,air,unrel_weak,475.7
50,flying,airplane,strong,512.7
1050,flying,airplane,strong,540.7
50,fly,airplane,weak,503.2
1050,fly,airplane,weak,628.0
50,essay,airplane,unrel_strong,538.9
1050,essay,airplane,unrel_strong,521.6
50,bedroom,airplane,unrel_weak,545.4
1050,bedroom,airplane,unrel_weak,569.8
50,dead,alive,strong,466.2
1050,dead,alive,strong,578.1
50,disbelief,alive,weak,508.4
1050,disbelief,alive,weak,519.1
50,cuss,alive,unrel_strong,537.1
1050,cuss,alive,unrel_strong,489.9
50,wife,alive,unrel_weak,554.3
1050,wife,alive,unrel_weak,475.9
50,most,all,strong,480.6
1050,most,all,strong,567.4
50,total,all,weak,512.2
1050,total,all,weak,530.1
50,amaze,all,unrel_strong,466.8
1050,amaze,all,unrel_strong,500.3
50,ape,all,unrel_weak,533.0
1050,ape,all,unrel_weak,548.1
50,crocodile,alligator,strong,550.2
1050,crocodile,alligator,strong,534.6
50,swamp,alligator,weak,533.8
1050,swamp,alligator,weak,569.8
50,lost,alligator,unrel_strong,596.3
1050,lost,alligator,unrel_strong,545.0
50,confess,alligator,unrel_weak,565.7
1050,confess,alligator,unrel_weak,536.7
50,disallow,allow,strong,509.9
1050,disallow,allow,strong,471.3
50,grant,allow,weak,500.6
1050,grant,allow,weak,531.8
50,army,allow,unrel_strong,539.0
1050,army,allow,unrel_strong,506.7
50,candy,allow,unrel_weak,491.6
1050,candy,allow,unrel_weak,546.0
50,lonely,alone,strong,542.0
1050,lonely,alone,strong,491.8
50,apart,alone,weak,480.2
1050,apart,alone,weak,523.2
50,middle,alone,unrel_strong,509.1
1050,middle,alone,unrel_strong,484.1
50,super,alone,unrel_weak,512.6
1050,super,alone,unrel_weak,509.1
50,okay,alright,strong,547.6
1050,okay,alright,strong,478.5
50,mediocre,alright,weak,566.3
1050,mediocre,alright,weak,525.0
50,hopeless,alright,unrel_strong,542.0
1050,hopeless,alright,unrel_strong,548.2
50,hinge,alright,unrel_weak,540.0
1050,hinge,alright,unrel_weak,588.6
50,foil,aluminum,strong,535.8
1050,foil,aluminum,strong,592.8
50,lead,aluminum,weak,593.2
1050,lead,aluminum,weak,594.9
50,jail,aluminum,unrel_strong,667.9
1050,jail,aluminum,unrel_strong,589.4
50,sentence,aluminum,unrel_weak,772.7
1050,sentence,aluminum,unrel_weak,654.3
50,forever,always,strong,536.8
1050,forever,always,strong,492.7
50,tradition,always,weak,516.4
1050,tradition,always,weak,512.5
50,positive,always,unrel_strong,531.5
1050,positive,always,unrel_strong,505.0
50,greatest,always,unrel_weak,487.1
1050,greatest,always,unrel_weak,511.3
50,be,am,strong,574.4
1050,be,am,strong,533.3
50,become,am,weak,541.0
1050,become,am,weak,530.8
50,freeway,am,unrel_strong,546.0
1050,freeway,am,unrel_strong,599.7
50,alarm,am,unrel_weak,624.4
1050,alarm,am,unrel_weak,553.9
50,emergency,ambulance,strong,592.2
1050,emergency,ambulance,strong,478.8
50,rescue,ambulance,weak,563.4
1050,rescue,ambulance,weak,595.1
50,introvert,ambulance,unrel_strong,641.0
1050,introvert,ambulance,unrel_strong,573.4
50,cape,ambulance,unrel_weak,541.2
1050,cape,ambulance,unrel_weak,549.8
50,usa,america,strong,549.3
1050,usa,america,strong,566.9
50,eagle,america,weak,613.5
1050,eagle,america,weak,546.9
50,tube,america,unrel_strong,528.6
1050,tube,america,unrel_strong,618.7
50,ice,america,unrel_weak,604.5
1050,ice,america,unrel_weak,535.4
50,entertain,amuse,strong,599.3
1050,entertain,amuse,strong,513.2
50,funny,amuse,weak,621.8
1050,funny,amuse,weak,540.3
50,mug,amuse,unrel_strong,581.1
